retweets,likes,Software,Cloud,Work,Humor,Woman,Partnership,Community,Improvement,eps,sentiment,prev_day_change,change_lead
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1,1
0.00022644072913914783,9.864959663276043e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,0,1
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1,0
0.0,3.2883198877586806e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0,0
0.0015473449824508435,0.0003836373202385128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,1,1
7.548024304638261e-05,0.00010961066292528937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,1,1
0.0,2.1922132585057873e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0
0.0,5.4805331462644686e-05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0,1
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1,0
0.0007548024304638261,0.0002082602595580498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.5,1,1
0.00015096048609276522,0.00017537706068046299,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02257332981391129,0.5,1,0
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,1
0.0,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
3.7740121523191305e-05,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
0.0,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0
0.0,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.0,3.2883198877586806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
7.548024304638261e-05,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.75,0,1
0.0,4.3844265170115746e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
0.0,2.1922132585057873e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1
0.0,3.2883198877586806e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0013209042533116958,2.1922132585057873e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1,0
7.548024304638261e-05,0.00026306559102069445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.00022644072913914783,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
0.0,0.00021922132585057875,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0,0
0.014077065328150357,0.0028389161697649945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257332981391129,0.0,1,0
3.7740121523191305e-05,3.2883198877586806e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0
0.0016228252254972262,0.0007672746404770256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02257332981391129,0.5,0,0
3.7740121523191305e-05,0.00021922132585057875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0
3.7740121523191305e-05,0.0002082602595580498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0
0.0,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
3.7740121523191305e-05,2.1922132585057873e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1
0.0121523191304676,4.3844265170115746e-05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333333,1,0
0.0008302826735102087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
0.0,2.1922132585057873e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
0.010001132203645695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,1
0.00018870060761595652,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1,0
0.00045288145827829566,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0
0.002075706683775522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,1
0.0,2.1922132585057873e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,0
3.7740121523191305e-05,3.2883198877586806e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
0.0004151413367551043,7.672746404770255e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
0.0,5.4805331462644686e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0007170623089406348,0.00010961066292528937,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,1,0
0.00030192097218553044,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,1
0.00033966109370872177,6.576639775517361e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,0
0.001245424010265313,0.0001205717292178183,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75,0,1
0.00022644072913914783,2.1922132585057873e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,1,0
0.00011322036456957391,7.672746404770255e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0
0.002453107899007435,3.2883198877586806e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0,1
3.7740121523191305e-05,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.00022644072913914783,2.1922132585057873e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0015096048609276522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0,2.1922132585057873e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0013963844963580782,6.576639775517361e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,0
7.548024304638261e-05,2.1922132585057873e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,1
0.00015096048609276522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,1
0.0,9.864959663276043e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,1,1
0.0034720911801336,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,0
0.0,3.2883198877586806e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0
